Person,Text,Category Truth,Quality Truth,Sentiment Truth
A,"Hello, Thank you for calling Best Buy.",Greetings,Positive,0.9
A,My name is Paul.,Greetings,Positive,0.8
A,How can I help you today?,Greetings,Positive,0.8
C,"Hi, My name is John.",Greetings,Positive,0.8
C,I am having problems with my computer.,Problem Investigation,Negative,0.3
A,I am sorry to hear that.,Problem Investigation,Neutral,0.7
A,What kind of problems are you having?,Problem Investigation,Neutral,0.6
C,It won't boot up.,Problem Investigation,Negative,0.3
C,"It will power on, but then I get an error.",Problem Investigation,Neutral,0.5
A,Can you tell me what the error said?,Problem Investigation,Neutral,0.6
C,It said there is no operating system.,Problem Investigation,Neutral,0.5
C,I see.,Problem Investigation,Neutral,0.5
A,It seems your computer did not come preconfigured with Windows.,Problem Investigation,Neutral,0.7
A,"Before we go further, can we verify your account details?",Account Verification,Neutral,0.7
C,Sure,Problem Investigation,Neutral,0.7
A,Can you please tell me your account ID?,Account Verification,Positive,0.8
C,"Yes, my account ID is 30493943",Account Verification,Positive,0.8
A,Thank you sir.,Account Verification,Positive,0.8
A,And can you confirm your date of birth?,Account Verification,Neutral,0.7
C,"It's April 13, 1988.",Account Verification,Neutral,0.7
C,Thank you again sir.  ,Problem Investigation,Positive,0.8
A,I see you purchased the Asus laptop September 1st.,Problem Investigation,Positive,0.8
A,This laptop model should have come with windows pre installed,Problem Investigation,Positive,0.8
A,Would you be able to come in today for us to install it for you?,Problem Investigation,Positive,0.8
C,"Yes, I can come in today",Problem Investigation,Positive,0.8
A,Would 3 PM be fine?,Problem Investigation,Positive,0.8
C,I will see you at 3,Problem Investigation,Positive,0.8
A,Have I resolved all your issues?,Closure,Positive,0.9
C,"Yes, thank you",Closure,Positive,0.9
A,You have a wonderful day sir,Closure,Positive,0.9
A,goodbye,Closure,Positive,0.8
C,Bye,Closure,Neutral,0.7
